Id,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32,Score
7648,17,5,b,a,0,1,17,a,b,0,d,a,0,40,j,8,f,2,4,a,3,b,3,b,a,6,f,a,b,5,3,a,5
7649,22,0,b,a,1,5,9,c,b,2,e,b,1,41,l,11,f,2,0,a,2,a,1,b,a,2,f,a,b,10,9,b,4
7650,1,10,a,a,1,1,16,e,b,18,a,f,1,63,i,9,b,1,0,b,2,a,1,b,a,2,b,a,b,10,12,b,1
7651,12,1,a,a,0,3,12,a,b,8,d,f,0,91,k,10,i,0,2,a,5,a,1,b,a,7,f,a,b,5,9,a,1
7652,16,1,a,b,0,1,5,e,b,17,c,a,1,64,b,8,a,1,2,a,3,a,1,b,b,10,b,a,b,10,18,b,4
7653,19,10,b,b,0,1,13,a,b,6,a,c,1,69,i,12,b,1,0,a,5,b,1,b,a,4,b,a,b,10,9,a,4
7654,6,6,b,a,0,3,16,a,b,7,c,a,1,74,h,12,f,2,0,a,4,b,3,b,a,4,b,a,b,5,15,a,5
7655,20,0,a,a,0,2,8,e,b,14,e,h,0,34,j,12,g,0,4,a,2,a,1,b,a,10,f,a,b,15,18,b,1
7656,18,6,a,a,0,1,18,a,b,7,d,c,1,46,j,30,i,3,2,b,2,b,3,a,a,8,h,a,b,15,15,a,1
7657,5,5,a,a,0,3,5,e,b,18,c,a,1,82,b,8,a,3,4,b,5,a,3,b,a,5,b,a,b,15,18,a,4
7658,0,1,c,a,0,0,8,e,b,17,d,f,1,92,n,10,i,3,0,a,5,b,1,c,a,10,h,a,c,5,15,b,1
7659,18,1,a,a,0,0,6,e,b,8,e,f,1,45,j,9,i,1,5,b,5,a,1,b,a,15,f,a,b,5,6,b,5
7660,4,5,a,a,0,3,8,a,b,9,d,a,4,67,n,15,i,4,3,a,3,a,3,b,a,11,h,a,b,5,6,a,1
7661,2,6,a,a,0,1,1,e,b,20,d,b,0,24,r,11,i,0,0,a,3,a,3,b,a,18,h,a,c,15,18,b,1
7662,4,5,a,a,0,3,1,e,b,22,c,b,1,48,b,10,a,5,0,b,6,b,1,b,a,6,b,f,b,15,15,b,4
7663,15,1,a,a,0,0,1,e,b,21,c,b,0,47,b,19,a,3,0,a,5,a,3,b,a,10,e,f,b,5,9,b,1
7664,23,1,a,b,0,1,9,e,b,0,d,f,1,47,k,17,i,1,3,b,0,b,3,b,b,10,h,g,b,10,18,b,1
7665,20,6,a,a,0,1,8,c,b,0,d,f,0,38,k,15,i,0,0,b,3,a,2,b,a,11,h,a,b,15,9,a,8
7666,0,6,b,b,0,0,12,c,b,1,c,f,0,81,b,9,a,0,0,a,2,b,4,b,b,11,b,a,b,15,6,b,1
7667,16,10,a,b,0,6,10,d,b,19,c,f,2,81,i,11,c,2,3,b,6,a,1,b,b,13,j,a,b,5,0,b,5
7668,8,6,a,a,0,1,5,e,d,20,d,h,1,53,k,9,g,2,5,a,2,a,3,b,a,10,h,b,b,5,9,b,1
7669,17,6,a,a,0,1,5,d,b,18,d,f,0,72,k,11,i,0,0,b,5,a,1,b,a,13,h,a,b,15,15,b,3
7670,11,0,a,b,0,1,18,a,b,20,d,f,0,91,q,8,i,0,9,b,5,a,3,b,b,14,f,a,b,10,18,a,1
7671,7,10,a,a,0,4,14,a,b,19,c,a,0,27,b,16,f,0,1,a,6,a,1,b,a,5,b,a,b,10,9,a,1
7672,21,10,a,a,0,1,7,e,b,11,c,h,1,62,i,22,c,2,0,a,6,b,1,b,a,4,a,a,d,10,18,b,4
7673,7,10,a,a,0,2,13,c,b,22,e,f,1,84,n,17,i,1,9,b,3,b,1,b,a,19,f,a,b,5,15,b,2
7674,10,1,a,a,0,3,11,a,b,9,c,f,1,14,f,11,c,4,4,a,4,a,1,b,a,6,j,a,b,15,15,a,14
7675,17,6,a,a,0,1,7,e,b,10,d,h,1,37,r,14,g,1,0,b,6,a,1,b,a,2,f,a,b,10,3,b,1
7676,10,10,a,a,0,2,2,c,b,13,c,h,1,91,i,16,c,3,0,b,5,a,1,b,a,14,j,a,b,15,15,b,5
7677,7,6,b,a,0,5,11,e,b,7,d,a,2,38,k,17,f,2,0,b,3,a,1,b,a,4,f,a,b,0,15,b,2
7678,14,0,a,a,0,1,5,d,b,19,c,f,2,77,b,4,a,3,5,a,5,b,3,b,a,19,b,a,b,10,12,b,2
7679,17,6,c,a,0,5,11,e,b,23,c,f,0,48,a,12,c,0,0,b,3,a,1,c,a,10,b,a,b,10,18,b,4
7680,7,1,b,a,0,2,13,a,b,16,a,f,1,64,i,9,a,3,0,a,6,b,3,b,a,10,b,a,b,15,6,a,1
7681,18,6,a,a,0,1,1,e,b,22,c,b,1,49,a,17,a,2,10,b,6,a,2,b,a,11,e,a,b,15,9,b,1
7682,17,10,a,a,0,3,16,a,b,13,c,a,0,47,i,6,a,2,10,a,3,b,3,b,a,13,b,a,b,10,15,a,8
7683,22,6,a,a,0,0,14,e,b,12,d,f,1,77,r,15,i,1,1,a,0,a,1,b,a,18,f,a,b,5,18,b,5
7684,17,1,a,a,0,2,6,a,b,0,d,a,0,84,r,9,g,0,11,b,5,a,1,b,a,18,f,a,b,10,9,a,1
7685,17,6,a,a,0,4,4,e,d,16,d,a,0,87,p,8,g,2,4,b,3,a,1,b,a,10,f,a,b,10,18,a,10
7686,11,10,a,a,0,2,8,e,b,12,c,a,1,60,i,14,c,1,3,b,2,a,2,b,a,7,b,a,b,15,12,b,1
7687,5,1,b,a,0,3,18,a,b,3,c,f,2,44,b,9,a,2,0,a,5,a,1,b,a,3,b,a,b,0,12,a,1
7688,4,10,a,a,0,3,6,e,b,1,e,a,1,44,k,7,i,2,0,a,4,b,3,b,a,14,f,a,b,5,15,b,4
7689,16,1,b,a,0,4,11,e,d,7,c,f,3,34,i,14,c,3,0,a,5,a,1,b,a,9,j,a,b,15,18,b,1
7690,21,10,b,a,0,3,14,c,b,11,c,b,1,73,a,19,c,1,0,a,5,a,1,b,a,2,b,a,b,5,18,b,4
7691,8,10,a,b,0,5,11,e,b,15,d,f,1,95,n,7,i,1,6,b,0,a,1,c,b,15,f,a,b,5,15,b,2
7692,11,1,a,a,0,0,13,e,b,22,d,c,1,83,l,18,i,1,0,b,6,a,1,c,a,9,f,a,b,10,12,b,1
7693,0,6,b,a,0,0,2,a,a,10,c,f,1,30,c,9,c,3,0,a,6,b,1,b,a,3,j,a,b,5,6,a,4
7694,20,10,b,a,0,2,11,d,b,0,c,f,1,18,e,12,f,2,0,b,0,a,3,b,a,1,j,a,d,5,18,a,1
7695,16,10,a,b,0,0,18,d,b,13,d,c,0,62,r,14,i,0,9,a,3,b,1,b,b,16,f,a,b,15,18,b,4
7696,11,6,b,a,0,3,18,e,b,5,d,f,0,9,r,22,f,0,0,b,5,b,1,b,a,6,h,a,d,5,15,b,14
7697,13,6,a,a,0,1,4,d,b,3,c,b,1,3,b,8,a,4,0,a,6,a,1,b,a,9,j,b,b,5,15,b,14
7698,18,1,a,b,0,2,4,e,b,18,a,f,0,72,b,12,a,0,0,a,6,a,1,b,b,12,b,a,b,10,9,b,1
7699,7,6,a,a,0,1,7,e,b,6,f,f,0,87,k,11,i,0,11,a,4,a,1,b,a,17,f,a,b,5,15,b,1
7700,14,10,a,a,0,1,5,e,b,18,c,a,1,72,b,8,a,1,0,a,2,a,1,b,a,6,b,a,b,5,9,b,4
7701,7,10,a,b,0,3,12,e,b,20,c,f,1,85,i,17,c,1,4,a,6,a,1,b,b,10,j,a,b,5,3,b,5
7702,4,6,a,a,0,2,13,e,b,19,c,f,1,52,i,21,f,5,1,a,5,a,2,b,a,8,j,a,b,5,15,b,1
7703,12,10,a,a,0,2,0,c,b,20,c,b,1,38,c,9,a,0,0,b,4,a,2,b,a,6,j,f,b,5,6,b,1
7704,10,10,b,a,0,6,8,a,b,17,c,a,1,74,c,14,f,3,0,a,0,b,2,b,a,8,b,a,b,15,9,a,5
7705,12,1,a,a,0,5,15,c,b,19,d,d,1,93,j,12,i,1,3,a,3,a,1,b,a,16,f,b,c,15,15,b,11
7706,5,1,a,b,0,3,15,a,b,16,d,g,0,74,k,13,g,0,11,a,3,a,1,b,b,21,f,a,b,5,15,a,11
7707,18,1,c,a,0,1,4,e,b,5,d,g,1,38,r,5,i,1,9,b,2,a,1,a,a,15,f,a,b,5,15,b,7
7708,22,10,a,a,0,1,18,d,b,9,d,f,1,66,m,10,i,3,1,a,4,a,1,b,a,5,f,a,b,5,18,b,9
7709,11,6,c,b,1,0,9,e,b,5,d,f,3,52,l,11,i,3,0,a,3,a,3,b,b,11,h,a,b,15,0,b,1
7710,21,5,a,a,0,5,7,a,b,16,e,b,1,72,o,20,i,1,8,a,5,b,1,b,a,13,h,a,a,10,18,a,2
7711,15,0,a,b,0,2,4,e,b,14,c,a,1,90,b,7,a,1,5,a,4,b,1,a,b,17,b,a,b,15,15,b,2
7712,7,10,c,a,0,0,5,e,b,16,d,f,1,32,k,5,i,1,5,a,6,a,1,b,a,9,h,a,b,10,6,b,3
7713,17,6,a,a,0,5,0,e,b,21,a,f,1,43,g,21,a,4,0,a,4,b,1,b,a,4,j,a,b,15,9,b,1
7714,14,6,c,b,0,0,15,e,b,11,d,f,1,60,r,8,i,1,0,a,0,a,1,b,b,9,h,a,b,10,12,b,5
7715,16,10,a,a,0,1,4,e,b,10,d,a,1,9,r,4,i,1,0,a,2,a,3,b,a,4,f,a,b,5,3,b,1
7716,9,10,a,a,0,3,7,d,b,17,c,a,1,79,b,13,f,1,2,a,2,a,1,b,a,11,b,a,d,5,3,b,10
7717,18,10,c,b,0,2,9,e,b,0,d,f,1,68,k,11,i,3,2,b,2,a,1,b,b,5,f,a,b,10,6,a,1
7718,12,0,a,a,0,0,10,e,b,2,d,f,1,58,k,21,i,1,4,a,6,b,3,b,a,11,f,a,d,15,18,b,1
7719,14,6,a,a,0,1,5,e,b,1,d,a,1,51,n,9,g,4,1,a,6,a,3,b,a,5,f,a,b,15,18,b,1
7720,0,1,a,b,0,0,5,e,b,0,c,g,1,99,i,6,a,1,0,b,5,a,3,a,b,4,j,a,b,15,3,b,10
7721,9,6,a,a,0,6,1,e,a,3,c,b,3,66,b,9,a,3,2,b,2,b,1,b,a,9,b,a,b,5,3,b,1
7722,7,0,a,a,0,0,10,e,b,9,c,f,1,70,i,11,c,1,4,b,3,b,1,b,a,15,j,a,b,0,3,a,1
7723,22,1,a,a,0,0,13,c,b,17,c,h,1,56,i,21,c,3,1,a,6,a,3,b,a,6,j,a,b,5,12,b,1
7724,7,10,a,a,0,5,8,a,b,15,c,c,2,95,b,14,f,2,3,b,2,b,1,b,a,12,a,a,b,10,15,a,1
7725,4,10,a,b,0,2,6,d,b,16,d,e,1,43,r,4,i,3,2,a,5,b,3,b,b,6,l,a,d,5,9,a,1
7726,15,10,a,a,0,4,13,e,b,0,c,h,0,94,a,14,a,0,0,b,2,b,1,b,a,16,b,a,b,10,15,b,1
7727,17,0,a,a,0,3,4,e,b,4,a,f,1,77,e,9,a,3,0,b,2,b,1,b,a,6,b,a,b,5,3,b,4
7728,20,6,a,a,0,1,11,c,b,15,d,c,2,73,n,7,i,2,7,a,2,a,1,b,a,13,f,e,b,5,0,b,4
7729,18,10,a,a,0,3,7,e,b,17,c,a,1,69,f,15,f,1,4,a,5,a,3,b,a,8,b,a,b,5,6,b,4
7730,19,1,c,b,0,4,9,e,b,15,d,f,0,37,r,13,i,2,0,a,5,a,1,b,b,6,h,a,b,15,9,b,4
7731,3,6,a,a,0,1,16,e,b,6,c,a,0,81,i,7,a,0,11,b,6,a,3,b,a,20,b,a,b,10,0,b,2
7732,16,6,a,a,0,0,3,c,d,20,c,a,1,53,i,7,a,3,6,b,6,a,3,b,a,6,b,a,b,15,9,b,1
7733,0,10,b,a,0,0,13,e,b,1,c,c,0,69,d,14,f,0,0,a,5,b,2,b,a,2,a,c,b,5,3,a,4
7734,15,6,a,a,0,4,12,d,b,0,d,g,1,49,m,12,g,2,5,b,0,a,1,c,a,11,f,a,b,10,15,a,26
7735,4,6,a,a,0,2,8,c,b,2,a,h,4,91,e,11,f,5,6,b,2,a,1,b,a,9,b,a,b,5,15,b,2
7736,6,1,b,a,0,2,11,e,b,0,d,c,1,82,p,38,f,1,0,b,3,a,1,b,a,6,f,a,b,5,12,b,4
7737,15,10,a,a,0,0,17,c,b,3,a,a,1,18,b,8,a,2,3,a,5,a,3,b,a,12,j,a,b,10,18,b,4
7738,19,0,a,a,0,3,14,a,b,8,d,f,1,37,k,16,i,3,3,b,5,a,1,b,a,5,f,a,b,10,3,a,2
7739,13,6,c,a,0,0,5,e,b,3,c,a,1,47,i,8,a,3,0,b,6,a,1,b,a,4,b,a,b,5,18,b,4
7740,21,10,a,a,0,4,10,a,b,15,d,f,1,48,n,14,i,5,5,b,3,a,1,b,a,5,f,a,b,10,0,a,11
7741,5,10,a,a,0,3,18,a,b,17,e,f,1,34,j,10,i,1,3,b,2,a,1,b,a,13,f,a,b,10,9,a,4
7742,20,10,a,a,0,2,18,c,b,19,d,f,3,50,o,13,i,3,9,a,6,a,3,b,a,17,f,a,b,5,18,a,7
7743,17,0,a,a,0,0,0,d,b,20,a,b,1,36,b,25,b,6,2,b,6,b,1,b,a,9,j,a,b,5,12,b,1
7744,4,10,a,a,0,3,1,e,b,22,d,f,1,39,r,10,i,2,1,a,0,a,1,b,a,3,f,a,b,0,18,b,4
7745,16,6,a,a,0,1,5,e,b,0,c,a,1,51,b,10,a,1,2,b,6,a,3,b,a,8,b,a,b,10,9,b,4
7746,10,6,a,a,0,2,7,d,b,23,c,f,2,69,b,18,f,3,3,a,3,a,1,b,a,11,b,a,b,15,9,b,3
7747,0,1,b,a,0,0,5,c,b,0,c,a,0,29,b,10,a,3,0,b,2,a,3,b,a,4,b,a,b,10,12,a,1
7748,20,6,c,a,0,0,8,e,b,2,c,f,0,30,f,10,c,0,0,b,2,a,1,b,a,10,j,a,b,15,15,a,4
7749,10,1,b,a,0,3,5,e,b,12,c,f,0,40,b,6,a,0,0,b,2,a,3,b,a,4,b,a,b,5,9,b,1
7750,6,10,a,b,0,1,14,e,b,7,d,f,0,85,k,13,i,1,10,b,6,b,3,c,b,14,f,a,b,15,6,b,1
7751,6,1,a,a,0,0,7,e,b,11,c,h,0,49,e,18,f,0,0,a,6,a,1,a,a,5,a,a,b,10,0,b,1
7752,10,1,a,a,0,3,17,d,b,0,d,f,1,33,k,7,i,0,0,a,5,a,3,b,a,14,f,a,b,5,3,b,2
7753,18,10,a,a,0,0,4,c,b,4,d,f,2,52,r,8,i,2,5,b,4,a,1,b,a,7,l,a,b,15,6,b,9
7754,4,1,a,a,0,3,18,a,b,16,d,a,1,10,k,12,g,1,1,a,0,a,1,b,a,3,f,a,b,15,12,a,1
7755,11,10,a,a,0,2,17,e,b,10,c,a,0,10,i,9,c,0,0,b,6,b,2,c,a,3,b,a,b,5,12,b,13
7756,10,1,a,a,0,1,0,e,b,20,c,b,1,22,c,15,a,3,3,b,0,b,1,b,a,8,b,a,b,15,18,a,3
7757,16,6,c,a,0,5,7,e,b,3,d,f,0,59,k,11,i,0,0,b,2,b,1,b,a,14,h,a,b,5,9,b,1
7758,17,10,a,b,0,1,4,e,b,15,c,g,1,65,i,6,a,1,0,a,1,a,1,b,b,8,b,a,b,10,12,b,1
7759,11,5,e,a,0,1,18,d,c,1,d,h,0,52,k,9,f,0,7,a,2,b,3,b,a,11,f,b,b,0,18,b,7
7760,10,5,b,a,0,1,6,a,b,8,c,c,1,23,b,8,a,1,0,a,3,b,1,b,a,4,b,a,b,15,9,a,1
7761,1,1,b,a,0,1,2,e,b,0,d,f,0,33,r,11,f,1,0,b,4,a,1,b,a,3,h,a,b,10,0,b,8
7762,20,10,a,a,0,1,3,c,b,2,e,h,1,72,r,12,g,1,8,b,2,b,1,b,a,21,h,a,b,5,9,a,1
7763,16,10,a,a,0,1,6,e,b,6,d,a,0,84,r,9,g,0,10,a,3,b,1,b,a,13,h,a,b,15,18,b,2
7764,0,6,b,a,0,0,12,d,b,3,a,c,0,17,i,20,f,0,0,b,3,b,2,b,a,2,b,a,b,10,18,b,1
7765,0,0,b,a,0,0,1,d,b,14,a,b,2,46,b,12,a,2,0,b,2,a,3,b,a,12,b,a,b,5,15,b,1
7766,12,5,a,a,0,0,8,e,b,12,d,f,0,86,r,9,i,0,0,a,1,a,3,b,a,11,f,a,c,5,18,b,1
7767,11,6,a,a,0,0,14,e,b,16,d,f,0,59,j,13,i,0,5,a,0,a,3,b,a,14,f,a,b,10,18,b,4
7768,9,10,b,a,0,6,8,a,b,2,c,a,1,49,b,12,f,1,0,a,5,a,1,b,a,4,b,a,b,15,0,a,1
7769,19,5,e,a,0,3,11,b,b,0,d,c,0,57,k,23,f,0,1,a,6,b,3,b,a,9,f,a,b,15,18,b,1
7770,17,5,a,a,0,2,1,e,b,23,a,b,0,54,b,23,b,1,2,b,5,a,1,b,a,11,b,a,b,0,0,b,4
7771,4,6,b,a,0,1,11,e,b,2,d,h,1,50,r,19,f,1,0,a,6,b,3,b,a,5,f,a,b,10,9,b,1
7772,14,1,b,a,0,0,4,a,b,16,c,b,2,38,i,7,a,2,0,a,0,a,1,b,a,3,b,a,b,10,18,a,1
7773,20,0,b,a,0,0,5,c,c,8,e,a,0,44,k,12,f,0,0,b,4,b,3,b,a,14,f,a,b,15,9,b,8
7774,11,1,a,b,0,3,3,e,b,0,d,f,2,97,k,6,i,2,3,b,6,a,2,b,b,15,h,a,b,15,3,b,2
7775,18,10,a,a,0,1,18,e,d,22,c,a,2,49,e,22,f,2,6,b,3,b,1,b,a,14,b,a,a,5,18,b,1
7776,20,1,a,a,0,3,5,e,b,0,d,f,1,52,r,11,i,1,3,a,2,b,3,b,a,10,f,a,b,15,3,b,13
7777,18,6,a,a,0,4,2,e,b,9,d,h,1,43,r,13,f,2,4,b,3,a,1,b,a,8,h,a,b,5,9,b,10
7778,15,6,c,b,0,7,13,e,b,3,d,f,1,66,k,14,i,3,0,a,3,a,1,b,b,8,f,a,b,15,12,b,2
7779,16,6,a,b,0,1,13,e,b,16,d,f,1,57,k,16,i,1,3,a,0,a,1,b,b,12,f,a,b,5,18,b,1
7780,3,10,c,b,0,2,4,c,b,10,d,b,1,51,n,7,i,1,0,a,1,a,3,b,b,8,f,f,b,10,12,b,4
7781,9,5,d,a,0,6,8,e,b,0,c,f,0,65,f,8,b,0,0,a,2,a,1,b,a,14,a,a,b,15,18,b,7
7782,11,10,b,a,0,1,3,a,b,2,d,f,0,48,k,8,f,1,0,a,6,a,1,b,a,5,f,a,b,5,3,a,4
7783,22,0,c,a,0,4,11,e,b,9,d,f,0,59,k,17,i,0,0,a,4,a,1,b,a,15,f,a,b,15,12,b,4
7784,10,6,b,a,0,1,10,a,b,14,c,f,1,44,e,14,f,1,0,a,6,b,1,b,a,2,b,a,b,15,12,a,2
7785,13,10,a,b,0,1,6,e,b,16,c,a,0,74,b,8,a,0,2,a,0,a,1,b,b,15,b,a,b,0,3,b,1
7786,20,1,a,b,1,4,10,d,b,18,d,f,2,73,r,12,i,5,4,b,6,a,1,b,b,11,k,a,b,15,6,b,3
7787,4,6,b,a,0,0,16,a,b,2,c,f,1,30,a,5,a,1,0,b,2,b,1,b,a,1,b,a,b,5,6,a,1
7788,4,6,a,a,0,3,2,c,b,15,a,f,1,58,b,9,c,1,2,a,2,a,1,b,a,6,b,f,b,10,18,a,1
7789,1,6,c,a,0,0,11,e,b,0,d,c,1,41,j,8,i,1,5,a,5,b,1,b,a,12,g,e,b,0,9,b,1
7790,17,10,a,a,0,3,9,e,b,9,d,f,1,23,m,14,i,1,8,a,2,a,1,b,a,10,f,a,c,10,9,b,22
7791,12,6,b,a,0,1,8,e,a,7,d,c,0,58,n,20,f,0,0,b,3,b,3,c,a,4,f,a,b,5,18,b,2
7792,2,1,a,b,0,1,13,d,b,17,e,f,2,51,j,23,i,2,4,a,5,b,1,b,b,11,i,a,b,15,18,b,10
7793,16,6,b,a,0,0,1,e,b,21,d,g,1,47,k,12,f,1,0,b,3,a,1,b,a,16,f,a,b,10,15,b,1
7794,11,6,a,b,0,1,5,d,b,22,d,a,1,71,r,7,i,3,2,a,4,a,1,b,b,3,f,a,b,15,18,b,1
7795,16,1,b,a,0,1,4,a,b,16,d,a,1,32,k,8,f,4,0,a,3,b,2,b,a,9,f,a,b,10,15,a,1
7796,10,5,c,a,0,3,7,e,b,18,d,a,1,43,k,22,i,2,0,b,5,b,2,b,a,10,h,a,b,15,15,b,1
7797,19,6,c,a,0,1,2,e,b,3,c,f,1,86,e,11,c,1,9,b,5,a,1,b,a,12,j,a,b,10,9,b,1
7798,15,10,a,a,0,6,15,a,b,16,c,a,1,33,b,8,a,1,2,b,4,b,1,b,a,12,b,a,b,0,18,a,1
7799,14,1,c,a,0,1,2,e,b,6,c,f,1,95,b,11,c,1,6,b,5,a,1,b,a,7,j,a,b,10,0,b,2
7800,14,1,a,a,0,1,11,e,b,19,c,f,1,49,i,9,a,1,10,a,5,b,3,c,a,20,b,a,b,15,15,b,1
7801,6,0,a,b,0,0,13,e,b,3,c,a,0,81,i,19,f,0,2,a,5,a,3,c,b,6,j,a,b,15,18,b,20
7802,17,10,b,b,1,3,17,c,b,0,c,g,1,52,i,10,b,2,0,b,5,a,1,b,b,9,j,a,b,15,18,b,2
7803,9,1,c,a,0,3,13,e,b,13,d,f,0,82,j,15,i,0,0,a,3,a,1,b,a,12,f,a,a,15,6,b,18
7804,14,0,a,a,0,3,5,c,b,0,c,f,0,10,i,6,a,0,10,b,3,a,3,b,a,20,b,a,b,0,6,b,4
7805,11,1,a,a,0,4,15,e,b,20,c,f,2,59,i,7,a,2,6,a,1,a,1,b,a,15,b,a,b,10,9,b,4
7806,18,1,b,a,0,0,2,a,b,6,a,c,1,58,e,13,b,1,0,b,5,a,3,b,a,3,b,a,b,10,0,a,1
7807,12,10,a,a,0,1,16,e,b,20,d,f,0,32,k,10,i,0,4,b,3,a,1,b,a,9,f,a,b,10,6,b,13
7808,13,6,b,a,0,4,6,e,b,15,c,g,1,51,b,7,a,1,0,a,2,a,1,b,a,2,b,a,b,5,6,b,1
7809,17,1,a,a,0,0,11,a,b,1,a,f,1,30,d,19,f,3,0,a,3,a,2,b,a,5,j,a,b,15,15,a,2
7810,7,6,b,a,0,4,7,e,a,16,c,f,1,61,e,15,c,3,0,a,3,a,1,b,a,9,j,a,b,15,15,b,4
7811,20,6,a,a,0,1,4,e,b,18,d,g,1,45,r,11,g,1,1,a,2,a,3,b,a,13,f,a,b,5,9,b,8
7812,6,6,a,b,0,4,4,e,b,0,d,b,1,63,r,7,i,2,2,b,0,a,1,b,b,7,f,f,b,10,6,b,7
7813,18,6,a,a,0,1,6,c,b,0,d,f,0,57,q,7,i,0,4,a,3,b,1,b,a,8,f,a,b,10,6,a,10
7814,6,0,a,b,0,4,17,d,b,24,c,a,1,36,b,9,c,1,5,b,0,a,1,b,b,9,j,a,b,5,9,b,6
7815,10,1,b,a,0,2,12,a,b,5,d,h,1,43,p,14,f,4,0,b,5,a,1,b,a,4,h,a,b,0,18,a,1
7816,1,10,a,a,0,0,16,e,b,6,c,f,0,57,a,6,a,0,1,b,3,b,1,b,a,10,b,a,b,0,12,b,1
7817,1,6,a,a,0,0,15,a,b,6,c,f,1,62,c,20,b,1,1,a,1,a,3,b,a,3,b,a,b,10,18,a,2
7818,17,5,a,b,0,0,1,e,b,23,e,b,1,54,j,16,i,1,5,a,2,a,2,b,a,11,f,c,b,15,9,b,1
7819,18,1,a,a,0,2,1,e,b,23,c,b,1,55,i,14,a,1,0,a,6,b,1,b,a,12,e,a,b,15,9,b,1
7820,15,0,a,a,0,3,5,e,b,1,c,e,1,59,a,5,a,1,0,a,5,b,2,b,a,10,b,a,b,5,12,b,3
7821,7,1,a,a,0,0,17,a,b,12,d,f,2,45,k,8,i,3,6,b,6,a,1,b,a,7,h,a,b,10,0,a,2
7822,14,6,a,a,0,2,0,d,b,20,a,b,1,40,i,20,b,1,0,b,1,a,1,b,a,11,j,a,b,10,18,b,1
7823,12,1,a,a,0,1,12,e,b,19,d,f,1,85,n,7,i,1,3,a,5,a,1,b,a,9,f,a,b,10,15,b,1
7824,11,1,a,b,0,5,9,e,b,15,b,f,1,81,i,11,f,2,4,b,1,a,1,b,b,10,j,a,b,5,15,b,3
7825,11,6,b,a,0,0,11,c,b,5,c,g,0,36,a,16,a,0,0,a,5,a,1,b,a,4,j,c,b,5,6,b,1
7826,14,6,a,a,0,3,7,c,b,15,c,h,2,35,i,10,c,2,6,a,3,a,1,b,a,11,b,a,b,5,18,b,5
7827,1,1,c,b,0,1,4,e,b,6,c,f,1,99,i,6,a,1,0,a,5,b,1,b,b,19,b,a,b,5,9,a,4
7828,14,10,a,a,0,0,1,e,b,23,c,b,1,55,b,17,a,1,1,b,2,a,3,b,a,5,b,a,b,15,9,b,1
7829,9,10,a,a,0,6,17,a,b,5,d,f,2,48,k,6,i,3,2,b,2,a,1,b,a,3,h,a,b,5,15,a,4
7830,16,1,a,a,0,2,2,a,b,0,d,f,3,35,p,12,i,6,8,a,5,a,1,b,a,14,f,a,b,5,18,a,2
7831,4,1,a,a,0,3,13,e,b,8,c,a,2,30,i,35,c,2,3,b,6,a,1,b,a,13,b,a,b,15,6,b,1
7832,2,6,a,a,0,1,8,e,b,17,c,h,0,43,d,14,c,0,1,a,6,b,2,b,a,7,j,a,b,5,12,b,8
7833,15,10,a,b,0,2,5,e,b,17,c,a,1,98,b,5,a,1,2,a,2,a,1,b,b,17,b,a,d,5,3,b,2
7834,9,6,a,a,0,6,13,d,c,19,c,a,1,80,i,11,f,2,4,b,4,a,2,b,a,11,a,a,b,15,15,b,1
7835,22,1,a,b,0,3,11,e,c,15,c,a,4,61,i,10,c,6,1,b,2,a,1,c,b,2,j,a,b,10,9,b,9
7836,7,1,c,a,0,4,16,e,c,4,a,a,1,64,b,10,b,1,0,a,5,b,1,c,a,6,b,a,b,5,6,b,1
7837,16,1,b,a,0,0,11,a,b,7,d,f,1,37,r,24,f,5,0,a,0,b,2,b,a,3,g,a,b,15,0,a,1
7838,17,1,a,a,0,3,1,e,b,16,c,f,0,95,i,7,a,0,1,a,5,a,2,b,a,14,j,a,b,10,6,b,3
7839,19,10,a,b,0,2,14,c,b,8,d,a,2,49,r,13,g,2,8,a,3,b,1,b,b,17,f,a,b,5,12,b,2
7840,10,1,a,b,0,0,13,a,b,8,d,c,0,67,r,11,i,1,1,b,2,b,1,b,b,11,h,c,b,5,15,a,4
7841,10,6,a,a,0,3,13,e,b,24,c,f,2,66,i,21,c,2,0,a,6,a,1,b,a,4,b,a,b,15,15,b,4
7842,9,6,a,b,0,2,12,c,b,20,d,a,1,82,k,16,g,1,6,b,1,b,1,b,b,9,h,a,b,5,6,b,4
7843,18,0,a,a,0,5,13,e,b,9,e,f,1,55,n,11,i,1,7,a,2,a,1,b,a,12,f,a,c,10,0,b,16
7844,19,1,b,a,0,4,18,a,b,13,d,h,1,44,r,11,f,3,0,b,5,a,1,b,a,5,h,a,b,5,6,a,6
7845,17,6,a,a,0,1,16,c,b,10,d,c,0,71,r,7,i,0,2,b,5,a,3,b,a,15,f,a,b,5,18,b,1
7846,13,5,a,b,0,3,5,e,b,0,c,g,1,68,b,5,a,1,2,b,6,a,3,b,b,6,b,a,b,0,9,b,1
7847,4,6,c,a,0,2,8,e,b,2,c,a,0,46,e,6,c,0,0,a,3,a,1,b,a,4,b,a,b,5,9,b,7
